Code,Description,last_updated
A42.2,Cervicofacial actinomycosis,09-06-2025
A42.7,Actinomycotic sepsis,09-06-2025
A42.8,Other forms of actinomycosis,09-06-2025
A42.9,"Actinomycosis, unspecified",09-06-2025
A43.0,Pulmonary nocardiosis,09-06-2025
A43.1,Cutaneous nocardiosis,09-06-2025
A43.8,Other forms of nocardiosis,09-06-2025
A43.9,"Nocardiosis, unspecified",09-06-2025
A44.0,Systemic bartonellosis,09-06-2025
A44.1,Cutaneous and mucocutaneous bartonellosis,09-06-2025
A44.8,Other forms of bartonellosis,09-06-2025
A44.9,"Bartonellosis, unspecified",09-06-2025
A48.0,Gas gangrene,09-06-2025
A48.1,Legionnaires disease,09-06-2025
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],09-06-2025
A48.3,Toxic shock syndrome,09-06-2025
A48.4,Brazilian purpuric fever,09-06-2025
A48.8,Other specified bacterial diseases,09-06-2025
A49.0,"Staphylococcal infection, unspecified site",09-06-2025
A49.1,"Streptococcal and enterococcal infection, unspecified site",09-06-2025
A49.2,"Haemophilus influenzae infection, unspecified site",09-06-2025
A49.3,"Mycoplasma infection, unspecified site",09-06-2025
A49.8,Other bacterial infections of unspecified site,09-06-2025
A49.9,"Bacterial infection, unspecified",09-06-2025
A50.0,"Early congenital syphilis, symptomatic",09-06-2025
A50.1,"Early congenital syphilis, latent",09-06-2025
A50.2,"Early congenital syphilis, unspecified",09-06-2025
A50.3,Late congenital syphilitic oculopathy,09-06-2025
A50.4,Late congenital neurosyphilis [juvenile neurosyphilis],09-06-2025
A50.5,"Other late congenital syphilis, symptomatic",09-06-2025
A50.6,"Late congenital syphilis, latent",09-06-2025
A50.7,"Late congenital syphilis, unspecified",09-06-2025
A50.9,"Congenital syphilis, unspecified",09-06-2025
A51.0,Primary genital syphilis,09-06-2025
A51.1,Primary anal syphilis,09-06-2025
A51.2,Primary syphilis of other sites,09-06-2025
A51.3,Secondary syphilis of skin and mucous membranes,09-06-2025
A51.4,Other secondary syphilis,09-06-2025
A51.5,"Early syphilis, latent",09-06-2025
A51.9,"Early syphilis, unspecified",09-06-2025
A52.0,Cardiovascular syphilis,09-06-2025
A52.1,Symptomatic neurosyphilis,09-06-2025
A52.2,Asymptomatic neurosyphilis,09-06-2025
A52.3,"Neurosyphilis, unspecified",09-06-2025
A52.7,Other symptomatic late syphilis,09-06-2025
A52.8,"Late syphilis, latent",09-06-2025
A52.9,"Late syphilis, unspecified",09-06-2025
A53.0,"Latent syphilis, unspecified as early or late",09-06-2025
A53.9,"Syphilis, unspecified",09-06-2025
A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,09-06-2025
A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,09-06-2025
A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,09-06-2025
A54.3,Gonococcal infection of eye,09-06-2025
A54.4,Gonococcal infection of musculoskeletal system,09-06-2025
A54.5,Gonococcal pharyngitis,09-06-2025
A54.6,Gonococcal infection of anus and rectum,09-06-2025
A54.8,Other gonococcal infections,09-06-2025
A54.9,"Gonococcal infection, unspecified",09-06-2025
A56.0,Chlamydial infection of lower genitourinary tract,09-06-2025
A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs,09-06-2025
A56.2,"Chlamydial infection of genitourinary tract, unspecified",09-06-2025
A56.3,Chlamydial infection of anus and rectum,09-06-2025
A56.4,Chlamydial infection of pharynx,09-06-2025
A56.8,Sexually transmitted chlamydial infection of other sites,09-06-2025
A59.0,Urogenital trichomoniasis,09-06-2025
A59.8,Trichomoniasis of other sites,09-06-2025
A59.9,"Trichomoniasis, unspecified",09-06-2025
A60.0,Herpesviral infection of genitalia and urogenital tract,09-06-2025
A60.1,Herpesviral infection of perianal skin and rectum,09-06-2025
A60.9,"Anogenital herpesviral infection, unspecified",09-06-2025
A63.0,Anogenital (venereal) warts,09-06-2025
A63.8,Other specified predominantly sexually transmitted diseases,09-06-2025
A66.0,Initial lesions of yaws,09-06-2025
A66.1,Multiple papillomata and wet crab yaws,09-06-2025
A66.2,Other early skin lesions of yaws,09-06-2025
A66.3,Hyperkeratosis of yaws,09-06-2025
A66.4,Gummata and ulcers of yaws,09-06-2025
A66.5,Gangosa,09-06-2025
A66.6,Bone and joint lesions of yaws,09-06-2025
A66.7,Other manifestations of yaws,09-06-2025
A66.8,Latent yaws,09-06-2025
A66.9,"Yaws, unspecified",09-06-2025
A67.0,Primary lesions of pinta,09-06-2025
A67.1,Intermediate lesions of pinta,09-06-2025
A67.2,Late lesions of pinta,09-06-2025
A67.3,Mixed lesions of pinta,09-06-2025
A67.9,"Pinta, unspecified",09-06-2025
A68.0,Louse-borne relapsing fever,09-06-2025
A68.1,Tick-borne relapsing fever,09-06-2025
A68.9,"Relapsing fever, unspecified",09-06-2025
A69.0,Necrotizing ulcerative stomatitis,09-06-2025
A69.1,Other Vincent infections,09-06-2025
A69.2,Lyme disease,09-06-2025
A69.8,Other specified spirochaetal infections,09-06-2025
A69.9,"Spirochaetal infection, unspecified",09-06-2025
A71.0,Initial stage of trachoma,09-06-2025
A71.1,Active stage of trachoma,09-06-2025
A71.9,"Trachoma, unspecified",09-06-2025
A74.0,Chlamydial conjunctivitis,09-06-2025
A74.8,Other chlamydial diseases,09-06-2025
A74.9,"Chlamydial infection, unspecified",09-06-2025
A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,09-06-2025
A75.1,Recrudescent typhus [Brill disease],09-06-2025
A75.2,Typhus fever due to Rickettsia typhi,09-06-2025
A75.3,Typhus fever due to Rickettsia tsutsugamushi,09-06-2025
A75.9,"Typhus fever, unspecified",09-06-2025
A77.0,Spotted fever due to Rickettsia rickettsii,09-06-2025
A77.1,Spotted fever due to Rickettsia conorii,09-06-2025
A77.2,Spotted fever due to Rickettsia sibirica,09-06-2025
A77.3,Spotted fever due to Rickettsia australis,09-06-2025
A77.8,Other spotted fevers,09-06-2025
A77.9,"Spotted fever, unspecified",09-06-2025
A79.0,Trench fever,09-06-2025
A79.1,Rickettsialpox due to Rickettsia akari,09-06-2025
A79.8,Other specified rickettsioses,09-06-2025
A79.9,"Rickettsiosis, unspecified",09-06-2025
A80.0,"Acute paralytic poliomyelitis, vaccine-associated",09-06-2025
A80.1,"Acute paralytic poliomyelitis, wild virus, imported",09-06-2025
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",09-06-2025
A80.3,"Acute paralytic poliomyelitis, other and unspecified",09-06-2025
A80.4,Acute nonparalytic poliomyelitis,09-06-2025
A80.9,"Acute poliomyelitis, unspecified",09-06-2025
A81.0,Creutzfeldt-Jakob disease,09-06-2025
A81.1,Subacute sclerosing panencephalitis,09-06-2025
A81.2,Progressive multifocal leukoencephalopathy,09-06-2025
A81.8,Other atypical virus infections of central nervous system,09-06-2025
A81.9,"Atypical virus infection of central nervous system, unspecified",09-06-2025
A82.0,Sylvatic rabies,09-06-2025
A82.1,Urban rabies,09-06-2025
A82.9,"Rabies, unspecified",09-06-2025
A83.0,Japanese encephalitis,09-06-2025
A83.1,Western equine encephalitis,09-06-2025
A83.2,Eastern equine encephalitis,09-06-2025
A83.3,St Louis encephalitis,09-06-2025
A83.4,Australian encephalitis,09-06-2025
A83.5,California encephalitis,09-06-2025
A83.6,Rocio virus disease,09-06-2025
A83.8,Other mosquito-borne viral encephalitis,09-06-2025
A83.9,"Mosquito-borne viral encephalitis, unspecified",09-06-2025
A84.0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],09-06-2025
A84.1,Central European tick-borne encephalitis,09-06-2025
A84.8,Other tick-borne viral encephalitis,09-06-2025
A84.9,"Tick-borne viral encephalitis, unspecified",09-06-2025
A85.0,Enteroviral encephalitis,09-06-2025
A85.1,Adenoviral encephalitis,09-06-2025
A85.2,"Arthropod-borne viral encephalitis, unspecified",09-06-2025
A85.8,Other specified viral encephalitis,09-06-2025
A87.0,Enteroviral meningitis,09-06-2025
A87.1,Adenoviral meningitis,09-06-2025
A87.2,Lymphocytic choriomeningitis,09-06-2025
A87.8,Other viral meningitis,09-06-2025
A87.9,"Viral meningitis, unspecified",09-06-2025
A88.0,Enteroviral exanthematous fever [Boston exanthem],09-06-2025
A88.1,Epidemic vertigo,09-06-2025
A88.8,Other specified viral infections of central nervous system,09-06-2025
A92.0,Chikungunya virus disease,09-06-2025
A92.1,O'nyong-nyong fever,09-06-2025
A92.2,Venezuelan equine fever,09-06-2025
A92.3,West Nile virus infection,09-06-2025
A92.4,Rift Valley fever,09-06-2025
A92.5,Zika virus disease,09-06-2025
A92.8,Other specified mosquito-borne viral fevers,09-06-2025
A92.9,"Mosquito-borne viral fever, unspecified",09-06-2025
A93.0,Oropouche virus disease,09-06-2025
A93.1,Sandfly fever,09-06-2025
A93.2,Colorado tick fever,09-06-2025
A93.8,Other specified arthropod-borne viral fevers,09-06-2025
A95.0,Sylvatic yellow fever,09-06-2025
A95.1,Urban yellow fever,09-06-2025
A95.9,"Yellow fever, unspecified",09-06-2025
A96.0,Junin haemorrhagic fever,09-06-2025
A96.1,Machupo haemorrhagic fever,09-06-2025
A96.2,Lassa fever,09-06-2025
A96.8,Other arenaviral haemorrhagic fevers,09-06-2025
A96.9,"Arenaviral haemorrhagic fever, unspecified",09-06-2025
A97.0,Dengue without warning signs,09-06-2025
A97.1,Dengue with warning signs,09-06-2025
A97.2,Severe Dengue,09-06-2025
A97.9,"Dengue, unspecified",09-06-2025
A98.0,Crimean-Congo haemorrhagic fever,09-06-2025
A98.1,Omsk haemorrhagic fever,09-06-2025
A98.2,Kyasanur Forest disease,09-06-2025
A98.3,Marburg virus disease,09-06-2025
A98.4,Ebola virus disease,09-06-2025
A98.5,Haemorrhagic fever with renal syndrome,09-06-2025
A98.8,Other specified viral haemorrhagic fevers,09-06-2025
B00.0,Eczema herpeticum,09-06-2025
B00.1,Herpesviral vesicular dermatitis,09-06-2025
B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis,09-06-2025
B00.3,Herpesviral meningitis,09-06-2025
B00.4,Herpesviral encephalitis,09-06-2025
B00.5,Herpesviral ocular disease,09-06-2025
B00.7,Disseminated herpesviral disease,09-06-2025
B00.8,Other forms of herpesviral infection,09-06-2025
B00.9,"Herpesviral infection, unspecified",09-06-2025
B01.0,Varicella meningitis,09-06-2025
B01.1,Varicella encephalitis,09-06-2025
B01.2,Varicella pneumonia,09-06-2025
B01.8,Varicella with other complications,09-06-2025
B01.9,Varicella without complication,09-06-2025
B02.0,Zoster encephalitis,09-06-2025
B02.1,Zoster meningitis,09-06-2025
B02.2,Zoster with other nervous system involvement,09-06-2025
B02.3,Zoster ocular disease,09-06-2025
B02.7,Disseminated zoster,09-06-2025
B02.8,Zoster with other complications,09-06-2025
B02.9,Zoster without complication,09-06-2025
B05.0,Measles complicated by encephalitis,09-06-2025
B05.1,Measles complicated by meningitis,09-06-2025
B05.2,Measles complicated by pneumonia,09-06-2025
B05.3,Measles complicated by otitis media,09-06-2025
B05.4,Measles with intestinal complications,09-06-2025
B05.8,Measles with other complications,09-06-2025
B05.9,Measles without complication,09-06-2025
B06.0,Rubella with neurological complications,09-06-2025
B06.8,Rubella with other complications,09-06-2025
B06.9,Rubella without complication,09-06-2025
B08.0,Other orthopoxvirus infections,09-06-2025
B08.1,Molluscum contagiosum,09-06-2025
B08.2,Exanthema subitum [sixth disease],09-06-2025
B08.3,Erythema infectiosum [fifth disease],09-06-2025
B08.4,Enteroviral vesicular stomatitis with exanthem,09-06-2025
B08.5,Enteroviral vesicular pharyngitis,09-06-2025
B08.8,Other specified viral infections characterized by skin and mucous membrane lesions,09-06-2025
B15.0,Hepatitis A with hepatic coma,09-06-2025
B15.9,Hepatitis A without hepatic coma,09-06-2025
B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,09-06-2025
B16.1,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,09-06-2025
B16.2,Acute hepatitis B without delta-agent with hepatic coma,09-06-2025
B16.9,Acute hepatitis B without delta-agent and without hepatic coma,09-06-2025
B17.0,Acute delta-(super)infection in chronic hepatitis B,09-06-2025
B17.1,Acute hepatitis C,09-06-2025
B17.2,Acute hepatitis E,09-06-2025
B17.8,Other specified acute viral hepatitis,09-06-2025
B17.9,"Acute viral hepatitis, unspecified",09-06-2025
B18.0,Chronic viral hepatitis B with delta-agent,09-06-2025
B18.00,Chronic viral hepatitis B with delta-agent,09-06-2025
B18.09,Chronic viral hepatitis B with delta-agent,09-06-2025
B18.1,Chronic viral hepatitis B without delta-agent,09-06-2025
B18.10,Chronic viral hepatitis B without delta-agent,09-06-2025
B18.19,Chronic viral hepatitis B without delta-agent,09-06-2025
B18.2,Chronic viral hepatitis C,09-06-2025
B18.8,Other chronic viral hepatitis,09-06-2025
B18.9,"Chronic viral hepatitis, unspecified",09-06-2025
B19.0,Unspecified viral hepatitis with hepatic coma,09-06-2025
B19.9,Unspecified viral hepatitis without hepatic coma,09-06-2025
B20.0,HIV disease resulting in mycobacterial infection,09-06-2025
B20.1,HIV disease resulting in other bacterial infections,09-06-2025
B20.2,HIV disease resulting in cytomegaloviral disease,09-06-2025
B20.3,HIV disease resulting in other viral infections,09-06-2025
B20.4,HIV disease resulting in candidiasis,09-06-2025
B20.5,HIV disease resulting in other mycoses,09-06-2025
B20.6,HIV disease resulting in Pneumocystis jirovecii pneumonia,09-06-2025
B20.7,HIV disease resulting in multiple infections,09-06-2025
B20.8,HIV disease resulting in other infectious and parasitic diseases,09-06-2025
B20.9,HIV disease resulting in unspecified infectious or parasitic disease,09-06-2025
B21.0,HIV disease resulting in Kaposi sarcoma,09-06-2025
B21.1,HIV disease resulting in Burkitt lymphoma,09-06-2025
B21.2,HIV disease resulting in other types of non-Hodgkin lymphoma,09-06-2025
B21.3,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",09-06-2025
B21.7,HIV disease resulting in multiple malignant neoplasms,09-06-2025
B21.8,HIV disease resulting in other malignant neoplasms,09-06-2025
B21.9,HIV disease resulting in unspecified malignant neoplasm,09-06-2025
B22.0,HIV disease resulting in encephalopathy,09-06-2025
B22.1,HIV disease resulting in lymphoid interstitial pneumonitis,09-06-2025
B22.2,HIV disease resulting in wasting syndrome,09-06-2025
B22.7,HIV disease resulting in multiple diseases classified elsewhere,09-06-2025
B23.0,Acute HIV infection syndrome,09-06-2025
B23.1,HIV disease resulting in (persistent) generalized lymphadenopathy,09-06-2025
B23.2,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",09-06-2025
B23.8,HIV disease resulting in other specified conditions,09-06-2025
B25.0,Cytomegaloviral pneumonitis,09-06-2025
B25.1,Cytomegaloviral hepatitis,09-06-2025
B25.2,Cytomegaloviral pancreatitis,09-06-2025
B25.8,Other cytomegaloviral diseases,09-06-2025
B25.9,"Cytomegaloviral disease, unspecified",09-06-2025
B26.0,Mumps orchitis,09-06-2025
B26.1,Mumps meningitis,09-06-2025
B26.2,Mumps encephalitis,09-06-2025
B26.3,Mumps pancreatitis,09-06-2025
B26.8,Mumps with other complications,09-06-2025
B26.9,Mumps without complication,09-06-2025
B27.0,Gammaherpesviral mononucleosis,09-06-2025
B27.1,Cytomegaloviral mononucleosis,09-06-2025
B27.8,Other infectious mononucleosis,09-06-2025
B27.9,"Infectious mononucleosis, unspecified",09-06-2025
B30.0,Keratoconjunctivitis due to adenovirus,09-06-2025
B30.1,Conjunctivitis due to adenovirus,09-06-2025
B30.2,Viral pharyngoconjunctivitis,09-06-2025
B30.3,Acute epidemic haemorrhagic conjunctivitis (enteroviral),09-06-2025
B30.8,Other viral conjunctivitis,09-06-2025
B30.9,"Viral conjunctivitis, unspecified",09-06-2025
B33.0,Epidemic myalgia,09-06-2025
B33.1,Ross River disease,09-06-2025
B33.2,Viral carditis,09-06-2025
B33.3,"Retrovirus infections, not elsewhere classified",09-06-2025
B33.4,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS],09-06-2025
B33.8,Other specified viral diseases,09-06-2025
B34.0,"Adenovirus infection, unspecified site",09-06-2025
B34.1,"Enterovirus infection, unspecified site",09-06-2025
B34.2,"Coronavirus infection, unspecified site",09-06-2025
B34.3,"Parvovirus infection, unspecified site",09-06-2025
B34.4,"Papovavirus infection, unspecified site",09-06-2025
B34.8,Other viral infections of unspecified site,09-06-2025
B34.9,"Viral infection, unspecified",09-06-2025
B35.0,Tinea barbae and tinea capitis,09-06-2025
B35.1,Tinea unguium,09-06-2025
B35.2,Tinea manuum,09-06-2025
B35.3,Tinea pedis,09-06-2025
B35.4,Tinea corporis,09-06-2025
B35.5,Tinea imbricata,09-06-2025
B35.6,Tinea inguinalis [Tinea cruris],09-06-2025
B35.8,Other dermatophytoses,09-06-2025
B35.9,"Dermatophytosis, unspecified",09-06-2025
B36.0,Pityriasis versicolor,09-06-2025
B36.1,Tinea nigra,09-06-2025
B36.2,White piedra,09-06-2025
B36.3,Black piedra,09-06-2025
B36.8,Other specified superficial mycoses,09-06-2025
B36.9,"Superficial mycosis, unspecified",09-06-2025
B37.0,Candidal stomatitis,09-06-2025
